"","name","coordinates.latitude","coordinates.longitude","price","review_count","rating","is_closed"
"1","A Burger Place",47.659244,-122.31285,"$",162,4,FALSE
"2","Aladdin Falafel Corner",47.66244,-122.31344,"$",410,4.5,FALSE
"3","Aladdin Gyro-Cery",47.65805,-122.31346,"$",428,4,FALSE
"4","Cafe Allegro",47.6587736,-122.3128673,"$",247,3.5,FALSE
"5","Ton Kiang Barbeque Noodle House",47.59763,-122.32415,"$",113,4,FALSE
"6","Ronald McDonald House Charities Western Washington & Alaska",47.6670303344727,-122.28401184082,NA,7,4,FALSE
"7","Burnett Real Estate",47.3034797,-122.5832355,NA,4,5,FALSE
"8","AMC Seattle 10",47.66174,-122.31807,NA,301,3,FALSE
"9","Araya's Place",47.6675671,-122.3128845,"$$",343,4.5,FALSE
"10","Arepa Venezuelan Kitchen",47.6647592219734,-122.312693352331,"$",231,4.5,FALSE
"11","Ba Bar",47.6615929627085,-122.298148758709,"$$",212,3,FALSE
"12","Bambu",47.66163,-122.31339,"$",47,3.5,FALSE
"13","BCZhang",47.6641,-122.31291,NA,28,4,FALSE
"14","Bean & Bagel",47.65547,-122.31281,"$",78,3.5,FALSE
"15","Beetle Cafe",47.6608,-122.31283,"$",104,4,FALSE
"16","Big Time Brewing Company",47.65784,-122.31354,"$$",279,4,FALSE
"17","Big Tuna",47.6610565185547,-122.317375183105,"$",73,3.5,FALSE
"18","Blue Moon Tavern",47.66149,-122.32002,"$",85,3.5,FALSE
"19","Boba Up",47.65807,-122.31354,"$",92,4,FALSE
"20","WOW Bubble Tea",47.6628435,-122.3132573,"$",290,4,FALSE
"21","Burger and Kabob Hut",47.65815,-122.31301,"$",274,4,FALSE
"22","Burgermaster",47.66158,-122.29393,"$",182,3.5,FALSE
"23","Burke-Gilman Brewing",47.66165,-122.28772,"$$",21,4.5,FALSE
"24","Cafe On The Ave",47.65851,-122.31353,"$$",362,2.5,FALSE
"25","Cafe Racer",47.6714284754772,-122.31704899185,"$",151,4,FALSE
"26","Cafe Solstice",47.657406,-122.3129055,"$",387,3.5,FALSE
"27","CaliBurger Seattle-U District",47.6616201,-122.3135102,"$$",519,3,FALSE
"28","Cedars Restaurant",47.6647397425756,-122.31433656316,"$$",806,3.5,FALSE
"29","Cedars of Lebanon",47.65968,-122.31338,"$",168,4,FALSE
"30","Chatime",47.66325,-122.31452,"$",70,3.5,FALSE
"31","Chi Mac",47.66208,-122.31344,"$$",267,4,FALSE
"32","Chi Omega Sorority",47.66278,-122.30867,NA,1,5,FALSE
"33","Chili's South Indian Restaurant",47.65898,-122.313,"$$",182,3.5,FALSE
"34","China First",47.6594399,-122.3135,"$",218,2.5,FALSE
"35","Citra",47.6638174140586,-122.312971447885,"$",190,4.5,FALSE
"36","College Inn Pub",47.655513,-122.313119,"$",150,4,FALSE
"37","Costa's Restaurant",47.66295,-122.3134,"$$",282,3,FALSE
"38","Cowen Park Grocery",47.6712615,-122.3148809,"$",73,4,FALSE
"39","Dawgpound",47.66673,-122.31347,"$$",8,4,FALSE
"40","Delfino's Chicago Style Pizza",47.662598,-122.298765,"$$",435,3.5,FALSE
"41","Delta Sky Club",47.442681,-122.302265,"$$",153,4,FALSE
"42","College Hill",47.6637632,-122.3502661,"$$",8,4.5,FALSE
"43","Dick's Drive-In",47.66111,-122.32778,"$",733,3.5,FALSE
"44","Din Tai Fung",47.66164,-122.29921,"$$",1969,4,FALSE
"45","Ding Tea Seattle",47.66386,-122.31339,"$",81,3.5,FALSE
"46","Djan's Thai Restaurant",47.66154,-122.32541,"$$",389,4,FALSE
"47","Duchess Tavern",47.6683651,-122.2966702,"$",90,3.5,FALSE
"48","Earl's On the Avenue",47.66081,-122.31347,"$",173,3,FALSE
"49","Elemental Pizza",47.663503,-122.2991392,"$$",321,3.5,FALSE
"50","Ellenos Real Greek Yogurt",47.608912,-122.34058,"$",1638,5,FALSE
"51","Eureka!",47.661897097194,-122.299133504299,"$$",566,3.5,FALSE
"52","Even Stevens Sandwiches",47.6624282921086,-122.298678553967,"$$",127,4.5,FALSE
"53","Evergreens Salad",47.6620039374872,-122.298651337623,"$$",82,3.5,FALSE
"54","Fat Ducks Deli & Bakery",47.66887,-122.31327,"$",338,4.5,FALSE
"55","Finn MacCool's Irish Public House",47.658947,-122.313523,"$",171,3,FALSE
"56","Floating Bridge Brewing",47.6614427887238,-122.319743222871,"$",41,4.5,FALSE
"57","Flowers Bar & Restaurant",47.6596069335938,-122.313507080078,"$",236,3,FALSE
"58","Fran's Chocolates",47.663641,-122.299072,"$$$",176,4.5,FALSE
"59","Frank's Oyster House & Champagne Parlor",47.66863,-122.29892,"$$",313,4,FALSE
"60","Full Tilt Ice Cream",47.66476,-122.314506,"$",272,4,FALSE
"61","R & M Grocery and Video",47.66865,-122.31336,"$",19,3,FALSE
"62","General Porpoise",47.66217,-122.2933,NA,23,3,FALSE
"63","Graduate Seattle",47.66179,-122.31461,NA,5,3.5,FALSE
"64","Green House Korean Restaurant",47.65714,-122.31404,"$",184,3.5,FALSE
"65","Gretchen's Place",47.6679550692991,-122.275774760119,"$",40,3.5,FALSE
"66","Guanaco's Tacos Pupuseria",47.65714,-122.31404,"$",305,4,FALSE
"67","Hawaii BBQ Restaurant",47.6627388,-122.3133469,"$",137,3.5,FALSE
"68","Henry's Taiwan Kitchen",47.6568856156391,-122.314342666277,"$$",163,3,FALSE
"69","Herkimer Coffee",47.6698722839355,-122.31339263916,"$",161,4.5,FALSE
"70","Hiroshi's Poke",47.66359,-122.31609,"$$",210,4.5,FALSE
"71","Hokkaido Ramen Santouka - Seattle",47.66239,-122.298872,"$$",168,3.5,FALSE
"72","Hunan Chinese Kitchen",47.66144,-122.31341,NA,16,4,FALSE
"73","Ichiro Teriyaki",47.657508,-122.312765,"$",189,3,FALSE
"74","Itadakimasu",47.664349,-122.314514,"$$",350,4,FALSE
"75","Ivar's Salmon House",47.6536199,-122.32404,"$$",1135,3.5,FALSE
"76","Jak's Grill",47.66101,-122.28799,"$$$",405,4,FALSE
"77","Jewel of India",47.6641,-122.31347,"$$",334,3.5,FALSE
"78","Jimmy John's",47.6102543434532,-122.334025087033,"$",102,3.5,FALSE
"79","JOEY U-Village",47.6615228,-122.299815,"$$",528,3.5,FALSE
"80","Juice Press",47.6639674940258,-122.298991059403,NA,32,3,FALSE
"81","Cold Plate",47.66776,-122.3127,"$",55,4.5,FALSE
"82","Jujubeet",47.6650853,-122.3019857,"$$",26,3.5,FALSE
"83","Just Burgers",47.661621,-122.312979,"$$",286,4,FALSE
"84","K One Karaoke",47.6609142,-122.313429,NA,4,4.5,FALSE
"85","Kai's Bistro & Lounge",47.65994,-122.31349,"$$",73,3,FALSE
"86","The Hop and Hound",47.7595820277929,-122.205285653472,"$",69,4.5,FALSE
"87","Kate's Pub",47.6611,-122.32461,"$",282,4,FALSE
"88","Kidd Valley",47.66868,-122.3004,"$",83,3.5,FALSE
"89","Kitanda Espresso & Açai",47.66104,-122.31577,NA,10,4.5,FALSE
"90","Kong Tofu House - Seattle",47.65847,-122.3124,"$$",95,3,FALSE
"91","The Kraken Bar & Lounge",47.6680599,-122.31321,"$",53,4.5,FALSE
"92","Ku Sushi and Izakaya",47.66663,-122.3127,"$$",172,3.5,FALSE
"93","Kung Fu Tea",47.664073559291,-122.312925432541,"$",162,4,FALSE
"94","La Villa",47.6686463766373,-122.290949709713,"$$",55,4,FALSE
"95","Laughs Comedy Club- Seattle",47.66696,-122.31707,"$$",164,4,FALSE
"96","Little Thai Restaurant",47.6581344604492,-122.314018249512,"$",325,4,FALSE
"97","Ly's Donuts",47.66106,-122.31737,"$",181,3.5,TRUE
"98","Ma'ono Fried Chicken",47.66251,-122.29969,"$$",202,4,FALSE
"99","Madeleine Bread & Desserts",47.6582099,-122.31302,"$",87,3,FALSE
"100","Mamma Melina Ristorante + Pizzeria",47.66642,-122.300812,"$$",605,3.5,FALSE
"101","Mamma Mia Pizzeria",47.66729,-122.3177,"$$",58,2.5,FALSE
"102","Marlai Thai Restaurant",47.6611199,-122.28736,"$$",101,3.5,FALSE
"103","McDonald's",47.6677400568319,-122.300400630338,"$",64,2.5,FALSE
"104","Mee Sum Pastry",47.6091726957566,-122.341359799475,"$",685,4,FALSE
"105","Mei Mei Cafe",47.66529,-122.31705,NA,24,4.5,FALSE
"106","Memo's Mexican Food Restaurant",47.6643199,-122.31334,"$",309,3,FALSE
"107","Menchie's",47.661985722439,-122.29937158739,"$",81,4,FALSE
"108","Milano Pizza & Pasta",47.6612157739897,-122.32375065582,"$$",227,2.5,FALSE
"109","MOD Pizza",47.56922,-122.28983,NA,15,3.5,FALSE
"110","The Monkey Pub",47.66738,-122.3176,"$",56,4,FALSE
"111","Mr Lu's Burgers & Seafood",47.66464,-122.31274,"$",206,4,FALSE
"112","My Favorite Deli",47.6610260009766,-122.313941955566,"$",37,3.5,FALSE
"113","Mr Gyros - Seattle",47.6614256338781,-122.325863408599,"$",82,4.5,FALSE
"114","Korean Tofu House",47.658422,-122.31397,"$",608,3.5,FALSE
"115","Nasai Teriyaki at UW",47.66004,-122.31336,"$",111,3.5,FALSE
"116","Nasai Teriyaki",47.665599822998,-122.301200866699,"$",63,3.5,FALSE
"117","Neptune Theatre",47.6612247526646,-122.314045876265,"$$",177,3.5,FALSE
"118","Noodle Nation",47.65928,-122.31285,"$",316,3.5,FALSE
"119","Northlake Tavern & Pizza House",47.65479,-122.32133,"$$",286,3.5,FALSE
"120","Cafe O'Dessert",47.66389,-122.31339,"$",135,4,FALSE
"121","Oasis Tea Zone",47.66201,-122.31277,"$",223,3.5,FALSE
